Time	Position
0,500	0,47
0,550	0,51
0,600	0,55
0,650	0,59
0,700	0,64
0,750	0,68
0,800	0,71
0,850	0,75
0,900	0,78
0,950	0,81
1,000	0,84
1,050	0,87
1,100	0,90
1,150	0,92
1,200	0,97
1,250	0,97
1,300	1,02
1,350	1,04
1,400	1,05
1,450	1,06
1,500	1,07
1,550	1,08
1,600	1,10
1,650	1,10
1,700	1,10
1,750	1,11
1,800	1,10
1,850	1,11
1,900	1,09
1,950	1,10
2,000	1,10
2,050	1,09
2,100	1,08
2,150	1,07
2,200	1,07
2,250	1,05
2,300	1,04
2,350	1,02
2,400	0,98
2,450	0,97
2,500	0,96
2,550	0,93
2,600	0,91
2,650	0,89
2,700	0,87
2,750	0,85
2,800	0,83
2,850	0,81
2,900	0,78
2,950	0,76
3,000	0,73
3,050	0,70
3,100	0,67
3,150	0,64
3,200	0,61
3,250	0,58
3,300	0,55
3,350	0,52
3,400	0,48
3,450	0,44
3,500	0,41
